# Run ; Subrun ; Event ; Track ; Charge Ratios View 0 ; Charge Ratios View 1 #
833 ; 2 ; 1 ; 0 ; [0.050516178674507958, 0.021952882290210633, 0.31347094707543505] ; [0.37599016041771988, 0.44511304680378111, 0.31052810110138579]
833 ; 2 ; 1 ; 1 ; [0.41256698874079545] ; [0.13828528140668361]
833 ; 2 ; 1 ; 2 ; [0.33721419974855732] ; [0.13799416196374267]
833 ; 2 ; 2 ; 0 ; [0.010923310984374393] ; [0.29637414537219292]
833 ; 2 ; 3 ; 0 ; [0.23571577342392849] ; [-0.00039076438224575029]
833 ; 2 ; 4 ; 0 ; [1.6756562816050427] ; [0.51447431032294566]
833 ; 2 ; 4 ; 3 ; [3.3656371657301278] ; [1.6023140555487048]
833 ; 2 ; 4 ; 4 ; [0.36170253165284333] ; [0.27858816377941309]
833 ; 2 ; 4 ; 6 ; [0.095137220135694797] ; [3.929872016365775]
833 ; 2 ; 4 ; 10 ; [0.050311544609292706] ; [4.1548765503257696]
833 ; 2 ; 4 ; 11 ; [20.825346316566524] ; [2.1748467160393776]
833 ; 2 ; 4 ; 12 ; [0.044874391617041799] ; [0.71603282895369125]
833 ; 2 ; 5 ; 0 ; [0.18847364041281914, 0.39069732986968947, 0.48342645360665853, 0.50092397016147727] ; [0.20683224599791336, 0.47383523884802026, 0.51983161795554234, 0.39370328550124184]
833 ; 2 ; 5 ; 1 ; [0.26815009923226407] ; [0.45636537057225773]
833 ; 2 ; 5 ; 2 ; [0.73541979406545543] ; [0.0012360399044892606]
833 ; 2 ; 5 ; 4 ; [0.13459638823204184] ; [-0.23729487792281811]
833 ; 2 ; 6 ; 0 ; [0.35405200180545787, 0.43134735546160025, 0.60119699150913564] ; [0.45972486838721227, 0.36641616425902751, 0.18387589243547287]
833 ; 2 ; 7 ; 1 ; [1.514510260879192] ; [0.59155156486926519]
833 ; 2 ; 7 ; 2 ; [1.78648356951877] ; [1.9003185030054277]
833 ; 2 ; 7 ; 4 ; [0.52889033770072635] ; [0.4320125003056518]
833 ; 2 ; 7 ; 6 ; [0.54961282634912367] ; [1.0204180242759224]
833 ; 2 ; 7 ; 7 ; [0.93226658174907939] ; [1.4520473827108946]
833 ; 2 ; 7 ; 9 ; [0.87530838525938037] ; [0.89430027524945677]
833 ; 2 ; 7 ; 11 ; [1.1357235150067784] ; [1.1379059689756927]
833 ; 2 ; 7 ; 12 ; [4.5490172006180574] ; [0.84903355794893376]
833 ; 2 ; 7 ; 13 ; [1.8646034903309703] ; [2.1705971809712259]
833 ; 2 ; 7 ; 14 ; [0.84035514057859972] ; [1.1403949626548548]
833 ; 2 ; 7 ; 15 ; [0.68407674048075051] ; [3.4810642780097178]
