# Run ; Subrun ; Event ; Track ; Charge Ratios View 0 ; Charge Ratios View 1 #
840 ; 63 ; 0 ; 0 ; [0.22363475622149956, 0.012963672580685304, 0.023415333562339442] ; [0.17173456167284504, 0.17295905037310913, 0.21184350341083624]
840 ; 63 ; 1 ; 1 ; [0.90199829142208987] ; [2.4577722984748296]
840 ; 63 ; 1 ; 3 ; [1.4531570463586625] ; [2.0955890371865653]
840 ; 63 ; 1 ; 4 ; [1.818853369683008] ; [0.92771875552331751]
840 ; 63 ; 1 ; 5 ; [2.205827268866059] ; [1.0021224809349347]
840 ; 63 ; 1 ; 7 ; [0.87553047374595205] ; [0.68847387341887123]
840 ; 63 ; 1 ; 16 ; [0.046731324720300858] ; [0.8048728495476456]
840 ; 63 ; 1 ; 18 ; [3.9759632633375288] ; [12.695602739868425]
840 ; 63 ; 1 ; 20 ; [11.745021270389493] ; [1.2576442841756899]
840 ; 63 ; 2 ; 0 ; [0.080617074006865602, 0.1052719690946667, 0.1087179259653903] ; [0.15935647050943183, 0.16869004096788556, 0.29900867825748151]
840 ; 63 ; 3 ; 0 ; [0.92198474934730867] ; [0.3357976418813573]
840 ; 63 ; 4 ; 0 ; [0.44970803556781314] ; [2.302893326064487]
840 ; 63 ; 4 ; 1 ; [0.73932768963194029] ; [0.63320574708479149]
840 ; 63 ; 4 ; 8 ; [0.35506582489027699] ; [1.352656952582721]
840 ; 63 ; 5 ; 0 ; [0.082818777401079707, 1.8692341965525103] ; [0.30859608759703894, 0.22090981212508146]
840 ; 63 ; 5 ; 1 ; [0.0028284100301284474] ; [0.22538535165032517]
840 ; 63 ; 5 ; 2 ; [0.13502193299268253, 0.17420152798332422] ; [0.34449054390440598, 0.049870434119950069]
840 ; 63 ; 5 ; 3 ; [0.32094088238113355] ; [0.11946745583182455]
840 ; 63 ; 6 ; 0 ; [0.14353322494234955] ; [0.19830571865075169]
840 ; 63 ; 6 ; 5 ; [0.00046928937897276648] ; [0.20378012154550937]
840 ; 63 ; 6 ; 6 ; [0.0075508818706167633] ; [0.020600234397148212]
840 ; 63 ; 6 ; 7 ; [0.11779382800296836] ; [0.076258227186316099]
840 ; 63 ; 6 ; 8 ; [0.033043394727702319] ; [0.44884079900299256]
840 ; 63 ; 7 ; 0 ; [0.17279298569792301, 0.07641058053075056, 0.047137209282092266, 0.023869967420014841] ; [0.46948056688686274, 0.42731943167431885, 0.21104881876430159, 0.197040912827812]
840 ; 63 ; 8 ; 0 ; [0.22794888723451831] ; [0.22580283767927628]
840 ; 63 ; 8 ; 3 ; [0.24910497213862481, 0.68330102694128259] ; [0.25767643394423306, 0.62255746244293042]
840 ; 63 ; 9 ; 0 ; [0.10603120757766125, 0.051982841229559811, 0.20355378637445942, 0.13634473431702646, 0.017402744672123969] ; [0.10139494918495016, 0.17405642445207908, 0.30645661968121013, 0.36779723979528312, 0.10988673893730434]
840 ; 63 ; 10 ; 0 ; [1.4533574542082348] ; [0.042730416976809786]
840 ; 63 ; 10 ; 4 ; [1.1082525657217008] ; [1.1587723059762824]
840 ; 63 ; 10 ; 11 ; [2.852596401654059] ; [3.5612358107692179]
840 ; 63 ; 10 ; 13 ; [0.48887220700527401] ; [0.20667977501830592]
840 ; 63 ; 11 ; 0 ; [0.23182838057412652] ; [1.0254844147967956]
840 ; 63 ; 11 ; 1 ; [0.42029162378654522] ; [0.82499273311599908]
840 ; 63 ; 11 ; 2 ; [10.664372647829932] ; [0.38224382519469613]
840 ; 63 ; 11 ; 4 ; [0.14211543501502541] ; [0.84146703969542103]
840 ; 63 ; 11 ; 8 ; [1.0543438558071447] ; [1.0712301425483788]
