run nb,Nb seq,date,time,Trigger,LAr level above grid [mm],cathode [kV],Grid [kV],LEM Bottom [kV],LEM top [kV],Drift Field [V/cm],Extraction Field [kV/cm],Amplification Field [kV/cm],Induction Field [kV/cm],Special LEMs,Nb of events,data taking remark,recombination factor,extraction efficiency,LEM gain,induction efficiency,Expected dQ/ds per view for mip (naive),
1199,10,10/11/2017,,PMT,9.50,56.00,4.40,3.30,0.20,560.00,1.07,31.00,1.00,,,,0.708,,,,,
1198,13,10/11/2017,,PMT,9.50,56.00,4.40,3.30,0.30,560.00,1.07,30.00,1.50,,,,0.708,,,,,
1197,9,10/11/2017,,PMT,9.50,56.00,4.40,3.40,0.40,560.00,0.98,30.00,2.00,,,,0.708,,,,,
1196,12,10/11/2017,,PMT,9.50,56.00,4.40,3.30,0.40,560.00,1.07,29.00,2.00,,,,0.708,,,,,
1195,13,10/11/2017,,PMT,9.50,56.00,4.40,3.30,0.50,560.00,1.07,28.00,2.50,"1,3,10 at 25 kV/cm, 12 at 15 kV/cm",,,0.708,,,,,
1194,10,9/11/2017,21:23,PMT,9.50,56.00,4.40,3.40,0.30,560.00,0.98,31.00,1.50,"1,3,10 at 25 kV/cm, 12 at 10 kV/cm",,,0.708,,,,,
1193,11,9/11/2017,20:29,PMT,9.50,56.00,4.40,3.40,0.40,560.00,0.98,30.00,2.00,"1,3,10 at 25 kV/cm, 12 at 10 kV/cm",,,0.708,,,,,
1192,12,9/11/2017,19:47,PMT,9.50,56.00,4.40,3.40,0.50,560.00,0.98,29.00,2.50,"1,3,10 at 25 kV/cm, 12 at 10 kV/cm",,,0.708,,,,,
1191,11,9/11/2017,19:04,PMT,9.50,56.00,4.40,3.20,0.50,560.00,1.17,27.00,2.50,"1,3,10 at 25 kV/cm, 12 at 10 kV/cm",,,0.708,,,,,
1190,11,9/11/2017,18:16,PMT,9.50,56.00,4.40,3.00,0.50,560.00,1.37,25.00,2.50,LEM 12 at 10 kV/cm,,,0.708,,,,,
1189,11,9/11/2017,17:31,PMT,9.50,56.00,4.40,2.80,0.50,560.00,1.56,23.00,2.50,LEM 12 at 10 kV/cm,,,0.708,,,,,
1188,6,8/11/2017,19:56,PMT,9.50,40.00,4.40,2.00,0.50,400.00,2.34,15.00,2.50,LEM 12 OFF,,,0.676,,,,,
1187,6,8/11/2017,19:30,PMT,9.50,40.00,4.40,2.20,0.50,400.00,2.15,17.00,2.50,LEM 12 OFF,,,0.676,,,,,
1183,5,8/11/2017,16:05,PMT,9.50,40.00,4.40,2.40,0.50,400.00,1.95,19.00,2.50,LEM 12 OFF,,,0.676,,,,,
1182,8,8/11/2017,15:31,PMT,9.50,40.00,4.40,2.60,0.50,400.00,1.76,21.00,2.50,LEM 12 OFF,,,0.676,,,,,
1181,6,8/11/2017,15:09,PMT,9.50,40.00,4.40,2.80,0.50,400.00,1.56,23.00,2.50,LEM 12 OFF,,,0.676,,,,,
1180,6,8/11/2017,14:47,PMT,9.50,40.00,4.20,2.80,0.50,400.00,1.37,23.00,2.50,LEM 12 OFF,,,0.676,,,,,
1178,6,8/11/2017,14:25,PMT,9.50,40.00,4.00,2.80,0.50,400.00,1.17,23.00,2.50,LEM 12 OFF,,,0.676,,,,,
1177,10,7/11/2017,19:39,PMT,9.50,30.00,4.40,2.50,0.20,300.00,1.85,23.00,1.00,"1,3 at 21 kV/cm 6,8,9,11,10,12 at 15 kV/cm",,,0.643,,,,,
1176,10,7/11/2017,18:44,PMT,9.50,30.00,4.40,2.70,0.40,300.00,1.66,23.00,2.00,"1,3 at 21 kV/cm 6,8,9,11,10,12 at 15 kV/cm",,,0.643,,,,,
